Navn,Startdato,Sluttdato,Avskjed,Regjering
Siv Jensen,2013-10-16,NA,0,Solberg
Jan Tore Sanner,2013-10-16,NA,0,Solberg
Vidar Helgesen,2013-10-16,NA,0,Solberg
Ketil Solvik-Olsen,2013-10-16,NA,0,Solberg
Børge Brende,2013-10-16,NA,0,Solberg
Thorhild Widvey,2013-10-16,NA,0,Solberg
Elisabeth Aspaker,2013-10-16,NA,0,Solberg
Tine Sundtoft,2013-10-16,NA,0,Solberg
Monica Mæland,2013-10-16,NA,0,Solberg
Solveig Horne,2013-10-16,NA,0,Solberg
Bent Høie,2013-10-16,NA,0,Solberg
Robert Eriksson,2013-10-16,NA,0,Solberg
Anders Anundsen,2013-10-16,NA,0,Solberg
Tord Lien,2013-10-16,NA,0,Solberg
Ine Marie Eriksen Søreide,2013-10-16,NA,0,Solberg
Sylvi Listhaug,2013-10-16,NA,0,Solberg
Torbjørn Røe Isaksen,2013-10-16,NA,0,Solberg
Hadia Tajik,2012-09-21,2013-10-16,0,Stoltenberg II
Marit Arnstad,2012-06-18,2013-10-16,0,Stoltenberg II
Trygve Slagsvold Vedum,2012-06-18,2013-10-16,0,Stoltenberg II
Bård Vegar Solhjell,2012-03-23,2013-10-16,0,Stoltenberg II
Heikki Holmås,2012-03-23,2013-10-16,0,Stoltenberg II
Inga Marte Thorkildsen,2012-03-23,2013-10-16,0,Stoltenberg II
Espen Barth Eide,2011-11-11,2013-10-16,0,Stoltenberg II
Ola Borten Moe,2011-03-04,2013-10-16,0,Stoltenberg II
Grete Faremo,2009-10-20,2013-10-16,0,Stoltenberg II
Karl Eirik Schjøtt-Pedersen,2009-10-20,2013-10-16,0,Stoltenberg II
Lisbeth Berg-Hansen,2009-10-20,2013-10-16,0,Stoltenberg II
Rigmor Aasrud,2009-10-20,2013-10-16,0,Stoltenberg II
Sigbjørn Johnsen,2009-10-20,2013-10-16,0,Stoltenberg II
Hanne Bjurstrøm,2009-10-20,2012-09-21,1,Stoltenberg II
Audun Lysbakken,2009-10-20,2012-03-05,1,Stoltenberg II
Lars Peder Brekk,2008-06-20,2012-06-18,1,Stoltenberg II
Anniken Huitfeldt,2008-02-28,2013-10-16,0,Stoltenberg II
Tora Aasland,2007-10-18,2012-03-23,1,Stoltenberg II
Bård Vegar Solhjell,2007-10-18,2009-10-20,1,Stoltenberg II
Manuela Ramin-Osmundsen,2007-10-18,2008-02-14,1,Stoltenberg II
Magnhild Meltveit Kleppa,2007-09-21,2012-06-18,1,Stoltenberg II
Dag Terje Andersen,2006-09-29,2009-10-02,1,Stoltenberg II
Anne-Grete Strøm-Erichsen,2005-10-17,2013-10-16,0,Stoltenberg II
Jonas Gahr Støre,2005-10-17,2013-10-16,0,Stoltenberg II
Kristin Halvorsen,2005-10-17,2013-10-16,0,Stoltenberg II
Liv Signe Navarsete,2005-10-17,2013-10-16,0,Stoltenberg II
Trond Giske,2005-10-17,2013-10-16,0,Stoltenberg II
Erik Solheim,2005-10-17,2012-03-23,1,Stoltenberg II
Knut Storberget,2005-10-17,2011-11-11,1,Stoltenberg II
Terje Riis-Johansen,2005-10-17,2011-03-04,1,Stoltenberg II
Bjarne Håkon Hanssen,2005-10-17,2009-10-20,1,Stoltenberg II
Heidi Grande Røys,2005-10-17,2009-10-20,1,Stoltenberg II
Sylvia Brustad,2005-10-17,2009-10-20,1,Stoltenberg II
Helga Pedersen,2005-10-17,2009-10-02,1,Stoltenberg II
Åslaug Haga,2005-10-17,2008-06-20,1,Stoltenberg II
Helen Bjørnøy,2005-10-17,2007-10-18,1,Stoltenberg II
Karita Bekkemellem,2005-10-17,2007-10-18,1,Stoltenberg II
Øystein Djupedal,2005-10-17,2007-10-18,1,Stoltenberg II
Odd Roger Enoksen,2005-10-17,2007-09-21,1,Stoltenberg II
Odd Eriksen,2005-10-17,2006-09-29,1,Stoltenberg II
Knut Arild Hareide,2004-06-18,2005-10-17,0,Bondevik II
Thorhild Widvey,2004-06-18,2005-10-17,0,Bondevik II
Morten Andreas Meyer,2004-03-08,2005-10-17,0,Bondevik II
Ansgar Gabrielsen,2001-10-19,2005-10-17,0,Bondevik II
Børge Brende,2001-10-19,2005-10-17,0,Bondevik II
Dagfinn Høybråten,2001-10-19,2005-10-17,0,Bondevik II
Erna Solberg,2001-10-19,2005-10-17,0,Bondevik II
Hilde Frafjord Johnson,2001-10-19,2005-10-17,0,Bondevik II
Jan Petersen,2001-10-19,2005-10-17,0,Bondevik II
Kristin Clemet,2001-10-19,2005-10-17,0,Bondevik II
Kristin Krohn Devold,2001-10-19,2005-10-17,0,Bondevik II
Laila Dåvøy,2001-10-19,2005-10-17,0,Bondevik II
Lars Sponheim,2001-10-19,2005-10-17,0,Bondevik II
Odd Einar Dørum,2001-10-19,2005-10-17,0,Bondevik II
Per-Kristian Foss,2001-10-19,2005-10-17,0,Bondevik II
Svein Ludvigsen,2001-10-19,2005-10-17,0,Bondevik II
Torild Skogsholm,2001-10-19,2005-10-17,0,Bondevik II
Valgerd Svarstad Haugland,2001-10-19,2005-10-17,0,Bondevik II
Einar Steensnæs,2001-10-19,2004-06-18,1,Bondevik II
Ingjerd Schou,2001-10-19,2004-06-18,1,Bondevik II
Victor Norman,2001-10-19,2004-03-08,1,Bondevik II
Thorbjørn Jagland,2000-03-17,2001-10-19,0,Stoltenberg I
Anne Kristin Sydnes,2000-03-17,2001-10-19,0,Stoltenberg I
